"rayyan_key","location","biome","taxonomic_group","conservation_problem","stakeholder_population","type_of_scientific_evidence","study_design","data_collected","factors_influencing_evidence_use","evidence_discipline","scale_of_study","scale_of_decision_making","type_of_organisation_studied","description_of_decision_type","location_std","continent_raw"
"rayyan-83178000","USA","Not mentioned","Not mentioned","Not mentioned","Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Accessibility of evidence, Format and language, Relevance, Source of evidence, Social, political, and economic context, Practitioner/policymaker research skills, Practitioner/policymaker personal characteristics, Capacity and resources","Natural sciences","Multi-region","Regional","Government/statutory body","State Wildlife Action Plans","United States","Americas"
"rayyan-83177414","Bolivia","Forest","Not mentioned","Not mentioned","Researchers, Practitioners, Policymakers, Indigenous groups included (I considered them to be practitioners in this context)","Research data","Surveys, Interviews, Documentary analysis","Stakeholder perceptions","Accessibility of evidence, Relevance, Social, political, and economic context, Researcher skills and awareness, Practitioner/policmaker attitude towards evidence use","Both natural and social sciences","Multi-unit","Local","Government/statutory body, Academic institution, Indigenous groups","Protected area management","Bolivia","Americas"
"rayyan-83177415","South Africa","Grassland","Not mentioned","Climate change, land-use change","Researchers, Policymakers","Research projects","Workshops","Stakeholder perceptions","Accessibility of evidence, Format and language, Relevance, Scientist-actor relationships, Culture of researchers, Culture of practitioner/policymakers, Capacity and resources","Natural sciences","Not reported","Regional","Not detailed","Outcomes from research-action partnership","South Africa","Africa"
"rayyan-83177418","Estonia","Not mentioned","Birds, Plants","Not mentioned","Researchers, Practitioners, Policymakers","Citizen science data","Surveys, Interviews","Stakeholder perceptions","Accessibility of evidence, Quantity of information, Rigour, Capacity and resources","Natural sciences","Multi-unit","National","Government/statutory body, NGO/non-profit,  Academic institution, Private sector","Use of citizen science data in decison-making","Estonia","Europe"
"rayyan-83177435","Australia","Freshwater","Invertebrates","Overfishing, habitat degradation","Practitioners","Peer-reviewed studies","Focus groups, Documentary analysis","Stakeholder perceptions","Format and language, Scientist-actor relationships, Researcher skills and awareness","Both natural and social sciences","Multi-unit","Local","Government/statutory body, Private sector","Use of peer-reviewed evidence in Murray crayfish conservation","Australia","Oceania"
"rayyan-83177440","USA","Not mentioned","Not mentioned","Not mentioned","Researchers, Practitioners","Research data","Surveys","Stakeholder perceptions","Format and language","Natural sciences","Multi-unit","Not reported","Government/statutory body, NGO/non-profit,  Academic institution, Private sector","Use of biodiversity occurrence data","United States","Americas"
"rayyan-83177449","Australia","Not mentioned","Not mentioned","Protected area managment","Practitioners","No description provided","Surveys","Stakeholder perceptions","Accessibility of evidence, Format and language, Nature of decision, Practitioner/policymaker research skills","Not mentioned","Single","Local","Government/statutory body","Use of scentific information in park management","Australia","Oceania"
"rayyan-83177457","Belize","Marine","Not mentioned","Marie Protected Area management","Researchers, Practitioners","No description provided","Interviews","Stakeholder perceptions","Source of evidence, Scientist-actor relationships, Nature of decision, Practitioner/policmaker attitude towards evidence use, Other stakeholder values and beliefs","Not mentioned","Multi-unit","Local","Government/statutory body, NGO/non-profit, Community/local organisation, Private sector","Marine reserve management","Belize","Americas"
"rayyan-83177458","USA","Not mentioned","Not mentioned","Not mentioned","Practitioners","Research data","Surveys","Stakeholder perceptions","Source of evidence, Scientist-actor relationships, Relationships between colleagues","Not mentioned","Multi-region","Regional","Government/statutory body","Biodiversity management","United States","Americas"
"rayyan-83177462","Vietnam","Not mentioned","Animals and plants","Not mentioned","Researchers, Practitioners","Redlists","Interviews, Documentary analysis","Mixed data","Format and language, Relevance, Rigour, Timelieness of evidence","Natural sciences","Multi-unit","National","Government/statutory body, Academic institution","Use of redlist data in conservation policy","Vietnam","Asia"
"rayyan-83177471","New Zealand","Forest","Not mentioned","Forest restoration","Practitioners","No description provided","Surveys","Opinions","Practitioner/policymaker research skills, Capacity and resources","Natural sciences","","","","","New Zealand","Oceania"
"rayyan-83177488","USA","Not mentioned","Not mentioned","Climate change","Researchers, Practitioners","Mixture of different tyoes including climate models and qualitative assessments drawn from literature","Interviews","Mixed data","Quantity of information, Relevance, Scientist-actor relationships, Social, political, and economic context, Capacity and resources, Management, Other stakeholder values and beliefs","Natural sciences","Multi-region","Regional","Government/statutory body","State Wildlife Action Plans","United States","Americas"
"rayyan-83177706","Australia","Marine","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys, Interviews","Stakeholder perceptions","Rigour, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-region","Local","","","Australia","Oceania"
"rayyan-83177996","Germany","Forest","Not mentioned","Not reported","Practitioners","No description provided","Interviews","Stakeholder perceptions","Rigour, Practitioner/policymaker-stakeholder relationships","Natural sciences","Multi-region","Regional","","","Germany","Europe"
"rayyan-153485131","Canada","Freshwater","Fish","Not reported","Researchers, Practitioners","No description provided","Interviews","Stakeholder perceptions","Time lag, Quantity of information, Inconclusive, Scientist-actor relationships, Practitioner/policymaker research skills, Capacity and resources","Natural sciences","Single","Regional","Government/statutory body, NGO/non-profit, Private sector, Academic institution, First nations group","Not linked to a specific decision","Canada","Americas"
"rayyan-153485180","UK","Forest, Grassland, Shrubland, Freshwater","Not mentioned","Not reported","Researchers, Practitioners","No description provided","Interviews, Workshops","Stakeholder perceptions","Accessibility of evidence, Relevance, Rigour, Timeliness of evidence, Scientist-actor relationships","Not mentioned","Multi-region","Regional","Government/statutory body, NGO/non-profit, Academic institution, Research funders","Catchment and upland management","United Kingdom","Europe"
"rayyan-153485295","Canada","Freshwater","Fish","Not reported","Researchers, Practitioners","Data, Peer-reviewed studies","Interviews","Stakeholder perceptions","Accessibility of evidence, Rigour, Uncertainty, Social, political, and economic context, Practitioner/policymaker research skills, Capacity and resources","Natural sciences","Multi-unit","Regional","Government/statutory body, NGO/non-profit, Private sector, Academic institution","Fisheries management","Canada","Americas"
"rayyan-153485431","Australia","Not mentioned","Not mentioned","Not reported","Practitioners","Site-level research and monitoring data","Surveys","Stakeholder perceptions","Existence of evidence","Both natural and social sciences","Multi-region","Regional","Government/statutory body","Protected area management","Australia","Oceania"
"rayyan-153485453","France","Not mentioned","Not mentioned","Agriculture impacts, Assessment of conservation status, Invasive species, Plant reintroduction","Researchers, Practitioners","Analyses of data, Protocol for survey of endangered species, Reintroduction protocol","Surveys, Interviews, Workshops","Mixed data","Accessibility of evidence, Source of evidence, Scientist-actor relationships, Social, political, and economic context, Capacity and resources","Natural sciences","Multi-unit","Regional","NGO/non-profit, Academic institution","Public policy design, public policy assessment, agenda setting","France","Europe"
"rayyan-153485833","USA","Not mentioned","Not mentioned","Climate change","Researchers, Practitioners","Multiple","Surveys, Interviews, Documentary analysis","Stakeholder perceptions","Scientist-actor relationships, Relationships between colleagues, Practitioner/policymaker-stakeholder relationships","Natural sciences","Single","Regional","Government/statutory body","Consideration of climate change in Wyoming Statewide Habitat Plan","United States","Americas"
"rayyan-153486288","Netherlands","Marine","Not mentioned","Marine spatial planning","Researchers, Policymakers","No description provided","Interviews, Focus groups, Workshops, Documentary analysis","Mixed data","Time lag, Quantity of information, Rigour, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Nature of decision, Social, political, and economic context, Researcher skills and awareness, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker research skills, Capacity and resources","Not mentioned","Multi-unit","National","Government/statutory body, Academic institution","Marine spatial planning in the Dutch North Sea","Netherlands","Europe"
"rayyan-153486399","USA","Marine","Not mentioned","Overexploitation","Researchers, Practitioners","No description provided","Interviews","Stakeholder perceptions","Relevance, Rigour, Source of evidence, Scientist-actor relationships, Practitioner/policymaker awareness of evidence, Capacity and resources, Management","Both natural and social sciences","Multi-unit","Regional","Government/statutory body, NGO/non-profit, Academic institution","Largely focussed on fisheries management","United States","Americas"
"rayyan-153486399","Mexico","Marine","Not mentioned","Overexploitation","Researchers, Practitioners","No description provided","Interviews","Stakeholder perceptions","Relevance, Rigour, Source of evidence, Scientist-actor relationships, Practitioner/policymaker awareness of evidence, Capacity and resources, Management","Both natural and social sciences","Multi-unit","Regional","Government/statutory body, NGO/non-profit, Academic institution","Largely focussed on fisheries management","Mexico","Americas"
"rayyan-153486477","USA","Marine","Invertebrates, Shellfish (coded as invertebrates)","Overexploitation","Researchers, Practitioners","No description provided","Interviews, Documentary analysis","Mixed data","Accessibility of evidence, Scientist-actor relationships","Natural sciences","Multi-unit","Local","Government/statutory body, Private sector, Academic institution","","United States","Americas"
"rayyan-153486661","Argentina","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Accessibility of evidence, Language barrier, Relevance, Rigour","Natural sciences","Multi-country","National","Government/statutory body, NGO/non-profit, Private sector, Academic institution","National reports on biodiversity assessments","Argentina","Americas"
"rayyan-153486661","Belarus","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Accessibility of evidence, Language barrier, Relevance, Rigour","Natural sciences","Multi-country","National","Government/statutory body, NGO/non-profit, Private sector, Academic institution","National reports on biodiversity assessments","Belarus","Europe"
"rayyan-153486661","Brazil","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Accessibility of evidence, Language barrier, Relevance, Rigour","Natural sciences","Multi-country","National","Government/statutory body, NGO/non-profit, Private sector, Academic institution","National reports on biodiversity assessments","Brazil","Americas"
